tag,x_est_raw,y_est_raw,x_est_aligned,y_est_aligned,x_true,y_true,dx,dy,err
1,-0.3733294395695748,-0.614268514303765,-0.07034972399775637,-0.9621119697096531,-0.04666666666666667,-0.9133333333333333,-0.023683057331089698,-0.04877863637631974,
2,-0.18215365813296197,0.8152680814674804,-0.4376099024460366,0.43260772233720324,-0.41333333333333333,0.4533333333333333,-0.02427656911270326,-0.020725610996130073,
3,0.33717005194728505,-0.7990752965690952,0.6570172702603072,-0.8626115682985449,0.5533333333333333,-0.6666666666666666,0.10368393692697386,-0.19594490163187828,
4,-1.0140875354859697,0.48373764047402,-1.0807667724968195,-0.1905901997544931,-1.0933333333333333,-0.18,0.012566560836513752,-0.010590199754493101,0.06287067809433346
5,0.7450731681084611,-0.015502612852587255,0.7360149377755767,0.017235277105719482,0.7533333333333333,0.02,-0.017318395557756605,-0.0027647228942805184,
6,-0.7046193713662287,1.254524911960707,-1.087930879307008,0.6399711995792027,-1.0466666666666666,0.54,-0.0412642126403413,0.09997119957920264,0.34265722504818524
7,-0.37994740275504285,-0.16096243615700886,-0.24898787243994946,-0.5454363046622903,-0.24,-0.54,-0.008987872439949474,-0.005436304662290281,
8,1.0835379078905383,0.783974630582651,0.7447466193851617,0.8853631482069906,0.6733333333333333,0.7333333333333333,0.0714132860518284,0.1520298148736573,0.66849547631302
9,0.22238139218134423,1.2920784192362695,-0.2449799358194681,1.0274946032594776,-0.19333333333333333,0.9466666666666667,-0.05164660248613476,0.08082793659281096,0.2415836671080071
10,-0.8668641629992863,0.12252791450479701,-0.8071537409140082,-0.4685885747302785,-0.7866666666666666,-0.42,-0.02048707424734153,-0.0485885747302785,
